Date,Close,High,Low,Open,Volume,daily_pct_change
2016-08-08,24.804040908813477,24.804040908813477,24.527092804815823,24.609489043629477,112148800,
2016-08-09,24.904739379882812,24.93449526442655,24.721634169460145,24.771988669853517,105260800,0.4059760723646999
2016-08-10,24.7193546295166,24.92534960067685,24.66442321928655,24.881861288365783,96034000,-0.7443753879069259
2016-08-11,24.70332717895508,24.932210039226604,24.68501613103632,24.838367228321207,109938000,-0.06483765778569905
2016-08-12,24.76054954528809,24.820059581873902,24.6689960458263,24.6689960458263,74641600,0.2316382968111208
2016-08-15,25.05810546875,25.071837886588973,24.73766899801379,24.75140141585276,103472800,1.2017339232219815
2016-08-16,25.03520393371582,25.229755741000236,24.99629427075392,25.092424642625954,135177600,-0.09139372113642352
2016-08-17,24.99858665466309,25.032919433468297,24.797168616999254,24.97112008237138,101424000,-0.14626315467483053
2016-08-18,24.9665470123291,25.085565351322884,24.952812850963635,25.000879796385863,87938800,-0.1281658150382281
2016-08-19,25.030628204345703,25.10615996270143,24.80174535810716,24.895586417021445,101472400,0.25666822081946705
2016-08-22,24.836082458496097,24.971122523094618,24.685018915482996,24.91619111937978,103280800,-0.7772307760770869
2016-08-23,24.913896560668945,25.02147177389938,24.840654122377213,24.854386533857703,85030800,0.313310693435187
2016-08-24,24.726215362548828,24.891011302987323,24.64610670990169,24.8498123178777,94700400,-0.7533193278822736
2016-08-25,24.620927810668945,24.69188093452572,24.417222216300257,24.57972882831137,100344800,-0.4258134548134507
2016-08-26,24.476734161376953,24.707904597919818,24.33253683872007,24.5843093874106,111065200,-0.5856548152889274
2016-08-29,24.449262619018555,24.59117059523091,24.32795500452868,24.40348675378222,99881200,-0.11223532591103647
2016-08-30,24.26158332824707,24.37602475904069,24.14714189745345,24.215807454424684,99455600,-0.7676276119079839
2016-08-31,24.28447151184082,24.3920467372776,24.179185603989712,24.183764239161057,118649600,0.09433919989509931
2016-09-01,24.42867088317871,24.44469261514723,24.174610743222345,24.29362907409736,106806000,0.593792503442292
2016-09-02,24.65755271911621,24.71935032658807,24.44926846613325,24.650684766074676,107210000,0.936939373542045
2016-09-06,24.650684356689453,24.788015475435525,24.607197798908395,24.696461978350715,107521600,-0.027855004529431238
2016-09-07,24.801740646362305,24.89329411671223,24.506481621258324,24.680433040299462,169457200,0.6127874077940465
2016-09-08,24.15172576904297,24.5522708926255,24.08763882866787,24.54769400241506,212008000,-2.620843781037907
2016-09-09,23.604690551757812,24.19749811312488,23.604690551757812,23.950304186078277,186228000,-2.2649943217984525
2016-09-12,24.13340950012207,24.197496422009813,23.46735953427949,23.494826106333228,181171200,2.2398893440477075
2016-09-13,24.707902908325195,24.90016540997437,24.54539629470703,24.607195641973306,248704800,2.3804900347802915
2016-09-14,25.58223533630371,25.870628215800973,24.856677122030995,24.886433010076683,443554800,3.5386751810648986
2016-09-15,26.45199203491211,26.488614130670957,25.97591526747291,26.06060255423702,359934400,3.3998463667251455
2016-09-16,26.303224563598633,26.58017268531583,26.10180822405106,26.349002195021775,319547600,-0.5624055500891179
2016-09-19,25.996522903442383,26.5916181560551,25.920991119493728,26.36502455044726,188092000,-1.1660230456333465
2016-09-20,25.994224548339844,26.12011081115645,25.75160929226149,25.875206237689383,138057200,-0.008841009665316868
2016-09-21,25.98964500427246,26.09035225799833,25.735584933446983,26.05830880278046,144012800,-0.01761754446210073
2016-09-22,26.234556198120117,26.307798649490568,26.092648184610844,26.172756842947617,124296000,0.9423414356271254
2016-09-23,25.797386169433594,26.273462923090836,25.531882967818554,26.188775638778345,209924800,-1.6663900291854383
2016-09-26,25.836294174194336,25.95302491074402,25.53188132621277,25.552479943478165,119477600,0.15082149991940685
2016-09-27,25.88436508178711,25.904965449843164,25.71270291501741,25.86376645996892,98429600,0.18605960773114827
2016-09-28,26.081205368041992,26.239135125485873,25.96218703015939,26.021697072219652,118564400,0.7604601682634549
2016-09-29,25.676082611083984,26.04687352067809,25.589107741729357,25.900388611113527,143548000,-1.553313013111024
2016-09-30,25.875207901000977,25.9484503460104,25.58910432733329,25.74016610618626,145516400,0.7755283114373235
2016-10-03,25.7539005279541,25.875209919491997,25.698969126471315,25.797388833340097,86807200,-0.4688169985377466
2016-10-04,25.863765716552734,26.16360173376269,25.779078421401593,25.877498130703476,118947200,0.4265963071472756
2016-10-05,25.875207901000977,26.01482658464982,25.79280993208567,25.955316552380403,85812400,0.04424021070110751
2016-10-06,26.067476272583008,26.170472890669775,25.893524760075575,26.023987957896615,115117200,0.7430602000094266
2016-10-07,26.10637664794922,26.220818070037353,25.980492131394783,26.16359735899329,97433600,0.14922954166884939
2016-10-10,26.561857223510746,26.722074530767596,26.25744259348504,26.3261064053504,144944000,1.744710044230935
2016-10-11,26.619075775146484,27.166105639172304,26.596186093481776,26.93951036360196,256164000,0.21541623070351346
2016-10-12,26.857112884521484,27.003599515625737,26.722072840694025,26.85940220197684,150347200,0.8942350643039498
2016-10-13,26.77471923828125,26.880005150259223,26.486326329501203,26.731230933637267,140769600,-0.3067851953949985
2016-10-14,26.923492431640625,27.0470893958653,26.809050992125677,26.9807131513981,142608800,0.5556480052521628
2016-10-17,26.905183792114254,26.971558291980894,26.728942993020848,26.854829278087568,94499600,-0.06800246874678617
2016-10-18,26.88686752319336,27.05624033602952,26.88228888849543,27.049374130220112,98214000,-0.0680771001693059
2016-10-19,26.806764602661133,26.95324951200044,26.04687348062428,26.836518749601417,80138400,-0.2979258199681589
2016-10-20,26.793033599853516,26.866276063155947,26.625950048993936,26.747257715128768,96503200,-0.051222156090613424
2016-10-21,26.687740325927734,26.75869519784017,26.61449788277504,26.735805515536914,92770800,-0.3929875037605224
2016-10-24,26.928070068359375,26.94866868851393,26.779295853260383,26.80218379106691,94154800,0.9005248833231283
2016-10-25,27.06540298461914,27.090580243373637,26.850252499349068,26.996737415972703,192516000,0.5099991046931152
2016-10-26,26.45656967163086,26.48174692661736,25.93471701597914,26.16359988222903,264536800,-2.2494891848987897
2016-10-27,26.2025089263916,26.51836662459886,26.115532327492296,26.410791407794477,138248000,-0.9602935996335327
2016-10-28,26.028554916381836,26.36958983377644,25.96675557626604,26.062887689086462,151446800,-0.66388302928716
2016-10-31,25.98736572265625,26.14529548881585,25.909544625476876,26.01254298236975,105677600,-0.1582461794667811
2016-11-01,25.51814842224121,26.040001040121055,25.29842109609378,25.96904791551526,175303200,-1.8055593068672104
2016-11-02,25.541040420532227,25.714991902906835,25.45864418807882,25.497553859616954,113326800,0.08970869638433854
2016-11-03,25.267269134521484,25.64226302147412,25.202853178991276,25.53183617062324,107730400,-1.0718877598684617
2016-11-04,25.03950881958008,25.363891402462773,24.871567483003545,24.968191409954677,123348000,-0.901404555153229
2016-11-07,25.40070152282715,25.42370696897912,25.1821453963758,25.3247819708429,130240000,1.4424911680560815
2016-11-08,25.55024528503418,25.702084433482018,25.2373662111449,25.377701755545395,97016800,0.5887387089393625
2016-11-09,25.508827209472656,25.610053278444553,24.857764485066493,25.27876923832055,236705600,-0.16210441465226433
2016-11-10,24.79795265197754,25.557143017878342,24.347039171303557,25.557143017878342,228538000,-2.7867786772695524
2016-11-11,24.945192337036133,25.04641843220124,24.51268387122759,24.643816878508083,136575600,0.5937574247560029
2016-11-14,24.31943130493164,24.80255276055703,23.944437391630697,24.779547311280258,204702000,-2.5085436249590476
2016-11-15,24.641511917114254,24.77264490369558,24.422957524546455,24.517280389531447,129058000,1.3243755914526645
2016-11-16,25.304079055786133,25.35929423981012,24.524182572280637,24.547188021355673,235362000,2.6888250238075173
2016-11-17,25.294872283935547,25.3868958200094,25.03720848917232,25.262664309590143,110528000,-0.03638453638359351
2016-11-18,25.320178985595703,25.430607580733323,25.22815720405116,25.241960120242243,113715600,0.10004676590609218
2016-11-21,25.70438575744629,25.764199584509186,25.308685645105,25.333992170094515,117058400,1.517393585839799
2016-11-22,25.72048568725586,25.86312052717091,25.628462134121555,25.75499298387835,103862000,0.06263495249991813
2016-11-23,25.589345932006836,25.65376187561672,25.382293430973053,25.619252832910615,109705600,-0.5098650034979779
2016-11-25,25.718181610107425,25.73658666962397,25.524931995589796,25.566342501900497,45903600,0.5034739005948641
2016-11-28,25.66757583618164,25.874628426316654,25.62616531815464,25.635367850516595,108776000,-0.19677041982585353
